"i","lon","lat","x","y","z","gbli","land"
231,-48.6320386989169,-56.1497022351014,0.443269513890864,-0.503357699799294,-1,1997,TRUE
232,-45,-57.9173156923797,0.443269513890864,-0.443269513890864,-1,1854,TRUE
233,-41.0304847714307,-59.5610908112268,0.443269513890864,-0.385742566271121,-1,1712,TRUE
234,-36.6960499570663,-61.064805275923,0.443269513890864,-0.330355377344334,-1,1713,TRUE
235,-31.9769156152123,-62.4101274670401,0.443269513890864,-0.276737270140414,-1,1571,TRUE
236,-26.8664828256797,-63.5770184156004,0.443269513890864,-0.224557509317129,-1,1573,TRUE
237,-21.3777031108158,-64.5445791250154,0.443269513890864,-0.173516460137856,-1,1431,TRUE
238,-15.5490454581221,-65.292421069836,0.443269513890864,-0.123338236136739,-1,1434,TRUE
239,-9.4480070803252,-65.8025098936963,0.443269513890864,-0.0737644315224493,-1,1436,TRUE
240,-3.16984830981142,-66.0612316290403,0.443269513890864,-0.0245486221089254,-1,1439,TRUE
241,3.16984830981142,-66.0612316290403,0.443269513890864,0.0245486221089254,-1,1297,TRUE
242,9.4480070803252,-65.8025098936963,0.443269513890864,0.0737644315224493,-1,1300,TRUE
243,15.5490454581221,-65.292421069836,0.443269513890864,0.123338236136739,-1,1302,TRUE
244,21.3777031108158,-64.5445791250154,0.443269513890864,0.173516460137856,-1,1305,TRUE
245,26.8664828256797,-63.5770184156004,0.443269513890864,0.224557509317129,-1,1451,TRUE
246,31.9769156152123,-62.4101274670401,0.443269513890864,0.276737270140414,-1,1453,TRUE
247,36.6960499570663,-61.064805275923,0.443269513890864,0.330355377344334,-1,1599,TRUE
248,41.0304847714307,-59.5610908112268,0.443269513890864,0.385742566271121,-1,1600,TRUE
249,45,-57.9173156923797,0.443269513890864,0.443269513890864,-1,1746,TRUE
250,48.6320386989169,-56.1497022351014,0.443269513890864,0.503357699799294,-1,1891,TRUE
251,51.957526333335,-54.2722810910179,0.443269513890864,0.566493002730344,-1,1893,TRUE
252,55.0080160804717,-52.2970073436731,0.443269513890864,0.633243016177569,-1,2038,TRUE
253,57.8139206084493,-50.2339812462739,0.443269513890864,0.704279460865044,-1,2183,TRUE
254,60.4035380232555,-48.0917103720282,0.443269513890864,0.780407659653944,-1,2328,TRUE
255,62.8026124313772,-45.877375104203,0.443269513890864,0.86260593225674,-1,2473,TRUE
256,65.0342299157438,-43.5970770984928,0.443269513890864,0.952079146700925,-1,2618,TRUE
257,-67.9442715600653,-44.2297563830864,0.385742566271121,-0.952079146700925,-1,2565,FALSE
258,-65.9066261705929,-46.6219784813631,0.385742566271121,-0.86260593225674,-1,2422,TRUE
259,-63.6975762893507,-48.9592460076933,0.385742566271121,-0.780407659653944,-1,2279,TRUE
260,-61.2899345984992,-51.235581508569,0.385742566271121,-0.704279460865044,-1,2279,TRUE
261,-58.6521459702055,-53.4437683132472,0.385742566271121,-0.633243016177569,-1,2137,TRUE
262,-55.7478433138469,-55.5750099367559,0.385742566271121,-0.566493002730344,-1,1994,TRUE
